train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch,train_acc,test_loss,test_acc
0.48418259620666504,0,49,,,,,,
0.325877845287323,0,99,,,,,,
0.38271209597587585,0,149,,,,,,
,0,194,0.2409505546092987,0.9301999807357788,,,,
,0,194,,,0.5313923954963684,0.8482972979545593,,
0.26964280009269714,1,199,,,,,,
0.17064929008483887,1,249,,,,,,
0.23891961574554443,1,299,,,,,,
0.2555093765258789,1,349,,,,,,
,1,389,0.19999578595161438,0.9386000037193298,,,,
,1,389,,,0.20854544639587402,0.9393028616905212,,
0.14351099729537964,2,399,,,,,,
0.2204550951719284,2,449,,,,,,
0.14575740694999695,2,499,,,,,,
0.1974138617515564,2,549,,,,,,
,2,584,0.17167645692825317,0.9484999775886536,,,,
,2,584,,,0.17265687882900238,0.948317289352417,,
,3,585,,,,,0.1713971495628357,0.9488000273704529
